No.	Type	Module	Issue / Current Behavior	Requirement	Acceptance Criteria	Priority	Category	Jobscope
1	Bug Fix	Withdraw Leaderboard	Rank 4–20 do not display Token rewards	Display the correct Token reward for every leaderboard ranking from Rank 4 to Rank 20	Rank 4–20 each show their configured Token reward correctly; displayed reward matches backend configuration	High	Leaderboard	FE + BE
2	Enhancement	MRS Mission – Promotion Pop-up	Mission Claim currently has no deposit-promotion flow	When member clicks Claim on an MRS Mission, trigger the promotion pop-up when configured	Pop-up only triggers from Mission Claim and only on MRS Mission page	High	Mission / Promotion	FE + BE
3	Enhancement	Mission Promotion Pop-up – Wallet Eligibility	Promotion participation depends on NS wallet balance	If NS Wallet = RM0, member can unlock promotion. If NS Wallet > RM0, member must clear wallet first	System checks NS wallet balance before allowing participation	High	Eligibility	BE
4	Enhancement	Mission Promotion Pop-up – Eligible Member Flow	No deposit CTA	For NS Wallet = RM0, show promotion content such as Deposit RM200 & Get Extra 50 Tokens with Unlock Reward and Skip	Unlock Reward redirects to Deposit Page; Skip closes pop-up	High	Mission / UI	FE
5	Enhancement	Mission Promotion Pop-up – Non-Eligible Flow	No wallet-clearing instruction	For NS Wallet > RM0 show Clear your wallet balance to unlock this reward	Clear Now redirects to NS Wallet Profile; Skip closes pop-up; member can participate after wallet is cleared	High	Mission / UI	FE + BE
6	Enhancement	Mission Promotion Pop-up – Deposit Validation	Deposit promotion completion logic not available	Count only successful deposits toward the promotion requirement	Failed/pending/cancelled deposits do not count; only qualified successful deposits contribute to completion	High	Deposit Validation	BE
7	Enhancement	Mission Promotion Pop-up – Auto Reward	Reward currently not automatically credited	After member satisfies deposit requirements, automatically credit configured reward	Reward is credited once according to configured claim limit; supported reward is Token or Battle Point	High	Reward Engine	BE
8	Enhancement	Mission Promotion Pop-up – Completion Pop-up	No completion confirmation	When qualified member returns to MRS Mission page, show Mission Completed pop-up	Pop-up shows completion message, reward type, reward amount, automatic-credit confirmation and Got It button	High	Mission / UI	FE + BE
9	Enhancement	Mission Game – Pop-out Configuration	No backend promotion configuration	Add a new Pop Out Setting beside Add Mission in Mission Game	Admin can access the new promotion configuration without modifying normal Add Mission flow	High	Admin Configuration	FE + BE
10	Enhancement	Pop-out Configuration – General	No promotion enable/scheduling controls	Admin can Enable/Disable pop-up, select Mission Category, specific Mission, date range, day(s), start time and end time	Configuration saves correctly and promotion only operates during configured schedule	High	Admin Configuration	FE + BE
11	Enhancement	Pop-out Configuration – Mission Selection	Promotion cannot target specific mission	Admin selects Daily Mission / Weekly Mission / Challenge Mission, then selects a specific mission under that category	Mission list corresponds to selected category	High	Admin Configuration	FE + BE
12	Enhancement	Pop-out Configuration – Content	Pop-up content cannot be managed	Allow admin to upload Banner/Image and edit pop-up content	Saved image/content displays on member promotion pop-up	High	Content Management	FE + BE
13	Enhancement	Pop-out Configuration – Deposit	Deposit conditions cannot be configured	Admin can set required deposit amount, number of deposit times, and choose Single Deposit / Accumulated Deposit	Member qualification follows saved deposit configuration	High	Promotion Rules	BE + FE
14	Enhancement	Pop-out Configuration – Display Frequency	No configurable frequency	Allow Once per member, Once per member per day, or maximum display times during promotion period	Pop-up does not exceed selected display rule	High	Frequency Control	BE
15	Enhancement	Pop-out Configuration – Claim Limit	No configurable member claim limit	Set maximum claims per member: Once per member, Once per member per day, or limited times during promotion period	Reward claims cannot exceed configured limit	High	Reward Control	BE
16	Enhancement	Pop-out Configuration – Reward	Reward configuration required	Admin selects reward category Token / Battle Point and reward amount	Correct reward type and amount are credited after qualification	High	Reward Engine	FE + BE
17	Enhancement	Pop-out Configuration – Eligibility	No configurable audience rules	Add optional Station, Wallet VIP Level(s) and MRS Level(s)	Eligibility follows configuration rules defined below	High	Eligibility	FE + BE
18	Enhancement	Promotion Eligibility Logic	Audience matching rules required	No Station = all stations. No Level = all members. One level type = evaluate that level only. Both Wallet VIP + MRS Level = member must satisfy both	Qualified/non-qualified members are determined exactly according to configured selections	High	Eligibility	BE
19	Enhancement	Mission Game – Time Setting	Only Start Date / End Date available	Add Start Time and End Time next to existing Start Date and End Date	Mission active period follows both configured date and time	High	Mission Configuration	FE + BE
20	Enhancement	Profile – Change Theme	Only Change Frame currently available	Add Change Theme next to Change Frame	Change Frame appears on left; Change Theme appears on right	Medium	Member Profile	FE + BE
21	UI Enhancement	Profile – Change Frame	Existing Change Frame box is too small	Enlarge Change Frame button and make Change Frame / Change Theme same size and style	Both buttons are readable, visually consistent and usable	Medium	UI/UX	FE
22	Enhancement	Profile – Brand Theme	Member cannot manually select brand theme	Change Theme must provide themes from all 6 brands	Member can freely switch to any of the six available themes	Medium	Theme	FE + BE
23	Enhancement	Theme Persistence	Theme normally follows station	Each station has default theme, but a member's manually selected theme overrides station theme	After member manually changes theme, selected theme remains when entering MRS through another station; station default applies only if member never changed theme	Medium	Theme Preference	FE + BE
24	Enhancement	Smash Egg – Sequence	Sequence requires manual setup	Add Import Sequence for Smash Sequence	Admin can import Smash Egg sequence using CSV/XLS/XLSX	Medium	Admin Tool	FE + BE
25	Enhancement	Lucky Spin – Sequence	Sequence requires manual setup	Add Import Sequence for Spin Sequence	Admin can import Lucky Spin sequence using CSV/XLS/XLSX	Medium	Admin Tool	FE + BE
26	Enhancement	Penalty Kick – Sequence	Sequence requires manual setup	Add Import Sequence for Kick Sequence	Admin can import Penalty Kick sequence using CSV/XLS/XLSX	Medium	Admin Tool	FE + BE
